Batting_team,Bowling_team,city,Runs_left,Balls_left,Wickets_left,Total_score,crr,rrr,result
Janakpur Bolts,Biratnagar Kings,Kathmandu,115,114,9,127,13.0,6.05,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,115,113,9,127,11.14,6.11,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,115,112,9,127,9.75,6.16,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,115,111,9,127,8.67,6.22,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,114,110,9,127,8.4,6.22,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,114,109,9,127,7.64,6.28,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,113,109,9,127,8.18,6.22,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,113,108,8,127,7.5,6.28,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,112,108,8,127,8.0,6.22,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,112,107,8,127,7.38,6.28,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,108,106,8,127,8.57,6.11,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,107,106,8,127,9.0,6.06,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,103,105,8,127,10.0,5.89,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,103,104,8,127,9.38,5.94,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,99,103,8,127,10.24,5.77,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,99,102,8,127,9.67,5.82,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,98,102,8,127,10.0,5.76,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,98,101,8,127,9.47,5.82,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,98,100,8,127,9.0,5.88,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,98,99,8,127,8.57,5.94,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,98,98,8,127,8.18,6.0,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,98,97,8,127,7.83,6.06,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,94,96,8,127,8.5,5.88,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,94,95,8,127,8.16,5.94,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,94,94,8,127,7.85,6.0,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,94,93,8,127,7.56,6.06,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,90,92,8,127,8.14,5.87,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,89,92,8,127,8.36,5.8,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,88,92,8,127,8.57,5.74,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,88,91,8,127,8.28,5.8,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,82,90,8,127,9.2,5.47,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,80,89,8,127,9.29,5.39,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,79,88,8,127,9.19,5.39,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,78,87,8,127,9.09,5.38,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,77,86,8,127,9.0,5.37,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,77,85,8,127,8.74,5.44,1
Janakpur Bolts,Biratnagar Kings,Kathmandu,76,84,8,127,8.67,5.43,1
